Product Name,Brand,MRP,Selling Price,Discount,Rating,Reviews,Product URL,Category
BABY FOREST Maasoom Maalish Baby Body Massage Oil - Ages 0-8...,BABY,N/A,N/A,N/A,N/A,15,https://www.nykaa.com/baby-forest-maasoom-maalish-baby-body-massage-oil/p/13265923?productId=13265923&pps=1,Baby
"Cetaphil Baby Daily Lotion With Shea Butter, pH Balanced, He...",Cetaphil,300,275,0%,N/A,13598,https://www.nykaa.com/cetaphil-baby-daily-lotion/p/26309124?productId=26309124&pps=2,Baby
Aveeno Baby Daily Moisture Wash & Shampoo - Natural Oat Gent...,Aveeno,1379,1299,6%,N/A,5227,https://www.nykaa.com/aveeno-baby-daily-moisture-wash-shampoo-natural-oat-gentle-cleanser-for-hair-sensitive-body-skin/p/17889837?productId=17889837&pps=3,Baby
Aveeno Baby Daily Moisture Lotion | Oatmeal Face & Body Mois...,Aveeno,1050,949,10%,N/A,1806,https://www.nykaa.com/aveeno-baby-daily-moisturising-lotion/p/181560?productId=181560&pps=4,Baby
Old School Handmade By Grandmas Baby Ubtan Bath Powder,Old,950,874,8%,N/A,N/A,https://www.nykaa.com/old-school-handmade-by-grandmas-baby-ubtan-bath-powder/p/28385236?productId=28385236&pps=5,Baby
Aveeno Baby DM Cleansing Bar,Aveeno,240,190,21%,N/A,464,https://www.nykaa.com/aveeno-baby-dm-cleansing-bar/p/21359055?productId=21359055&pps=6,Baby
"Cetaphil Baby Gentle Wash & Shampoo With 5 Fold Protection, ...",Cetaphil,275,250,0%,N/A,5336,https://www.nykaa.com/cetaphil-baby-gentle-wash-shampoo/p/26309123?productId=26309123&pps=7,Baby
"Cetaphil Baby Mild Bar For Sensitive Skin, Paraben, Allergen...",Cetaphil,260,237,9%,N/A,3517,https://www.nykaa.com/cetaphil-baby-mild-bar/p/757132?productId=757132&pps=8,Baby
BABY FOREST Dulaar Pyar Talc-Free Baby Powder - Ages 0+ Year...,BABY,N/A,N/A,N/A,N/A,39,https://www.nykaa.com/baby-forest-dulaar-pyar-talc-free-baby-powder/p/13265916?productId=13265916&pps=9,Baby
Baby Dove Rich Moisture Baby Wash Moisturizing Baby Wash For...,Baby,400,340,15%,N/A,2799,https://www.nykaa.com/dove-rich-moisture-hypoallergenic-body-wash/p/4869854?productId=4869854&skuId=4869850&pps=10,Baby
Sebamed Baby Cream Extra Soft PH5.5,Sebamed,N/A,N/A,N/A,N/A,7431,https://www.nykaa.com/sebamed-baby-cream-extra-soft-ph5-5-1/p/225389?productId=225389&pps=11,Baby
Majestique Luxury Portable Baby Care Kit,Majestique,599,497,17%,N/A,104,https://www.nykaa.com/majestique-luxury-portable-baby-care-kit/p/10119972?productId=10119972&pps=12,Baby
Mustela Gentle Cleansing Gel,Mustela,1350,999,26%,N/A,39,https://www.nykaa.com/mustela-gentle-cleansing-gel-500ml/p/515172?productId=515172&pps=13,Baby
Max Care Virgin Coconut Oil Cold Pressed,Max,325,302,7%,N/A,104248,https://www.nykaa.com/max-care-virgin-cold-pressed-oil-for-hair-skin-with-coconut/p/832875?productId=832875&pps=14,Baby
"Sebamed Baby Rash Cream, pH 5.5, Ideal For Diaper Rashes, Fa...",Sebamed,N/A,N/A,N/A,5.5,527,https://www.nykaa.com/sebamed-baby-rash-cream/p/282542?productId=282542&pps=15,Baby
"Cetaphil Baby Soothing Moisturising Cream, 48 Hour Hydration...",Cetaphil,499,464,7%,N/A,391,https://www.nykaa.com/cetaphil-baby-soothing-moisturising-cream/p/22166102?productId=22166102&pps=16,Baby
Mustela Organic Cleansing Gel,Mustela,N/A,N/A,N/A,N/A,1,https://www.nykaa.com/mustela-organic-cleansing-gel/p/25033616?productId=25033616&pps=17,Baby
Bronson Professional Transparent Waterproof Portable Soap Di...,Bronson,325,120,63%,N/A,145,https://www.nykaa.com/bronson-professional-transparent-waterproof-portable-soap-dish-box/p/19637531?productId=19637531&pps=18,Baby
"Tuco Kids Matte Kajal for Baby & Kids, Castor Oil",Tuco,300,264,12%,N/A,187,https://www.nykaa.com/tuco-intelligent-kiddy-kajal/p/18161499?productId=18161499&pps=19,Baby
"Sebamed Baby Powder, Olive Oil, Allantoin, Keeps Newborn’S S...",Sebamed,N/A,N/A,N/A,N/A,939,https://www.nykaa.com/sebamed-baby-powder/p/60087?productId=60087&pps=20,Baby
