Product Name,Brand,MRP,Selling Price,Discount,Rating,Reviews,Product URL,Category
TIRTIR Mask Fit Red Mini Cushion Foundation,TIRTIR,1300,1105,15%,N/A,2408,https://www.nykaa.com/tirtir-mask-fit-red-mini-cushion-foundation/p/17712202?productId=17712202&pps=1,Beauty
"Swiss Beauty Bold Matt Lip Liner Pencil, Long-lasting , Matt...",Swiss,69,66,5%,N/A,313242,https://www.nykaa.com/swiss-beauty-bold-matt-lip-liner/p/1202007?productId=1202007&pps=2,Beauty
"Insight Cosmetics Concealer, Buildabe Coverage With Long Las...",Insight,135,131,3%,N/A,38535,https://www.nykaa.com/insight-cosmetics-concealer/p/1264720?productId=1264720&pps=3,Beauty
Feel Good Club Classic Makeup Blender Beauty Sponge Puff For...,Feel,105,60,43%,N/A,2355,https://www.nykaa.com/feel-good-club-classic-makeup-blender-super-soft-beauty-sponge-puff/p/18868983?productId=18868983&pps=4,Beauty
Biolage Smoothproof 6-in-1 Hair Serum for Frizzy Hair with A...,Biolage,385,308,20%,N/A,42542,https://www.nykaa.com/matrix-biolage-smooth-proof-avocado-deep-smoothing-hair-serum/p/196207?productId=196207&pps=5,Beauty
Beauty of Joseon Relief Sun Aqua-Fresh Add SPF 50+ PA++++ Ri...,Beauty,N/A,N/A,N/A,N/A,5431,https://www.nykaa.com/beauty-of-joseon-relief-sun-aqua-fresh-rice-b5-spf50-pa/p/19301385?productId=19301385&pps=6,Beauty
"Dot & Key 10% Vitamin C + E Face Serum With 5% Niacinamide, ...",Dot,499,429,14%,N/A,63254,https://www.nykaa.com/dot-key-10percent-vitamin-c-e-5percent-niacinamide-face-serum-for-glowing-skin/p/7329368?productId=7329368&pps=7,Beauty
"Insight Cosmetics 24 Hrs Non Transfer Matte Lipstick, Creamy...",Insight,310,295,5%,N/A,545160,https://www.nykaa.com/insight-cosmetics-24-hrs-non-transfer-matte-lipstick-ll-03/p/4286476?productId=4286476&pps=8,Beauty
Oziva Advanced Hair Growth ActivesReduces Thinning Hair & Im...,Oziva,2099,1849,12%,N/A,280,https://www.nykaa.com/oziva-advanced-hair-growth-actives/p/16833065?productId=16833065&pps=9,Beauty
Dot & Key Cica Calming Mattifying Sunscreen In-Vivo Tested S...,Dot,445,387,13%,N/A,33451,https://www.nykaa.com/dot-key-cica-calming-niacinamide-sunscreen-spf-50-pa/p/6752052?productId=6752052&pps=10,Beauty
The Face Shop Real Nature Face Mask,The,N/A,N/A,N/A,N/A,181063,https://www.nykaa.com/the-face-shop-real-nature-face-mask/p/542941?productId=542941&pps=11,Beauty
Nykaa Green Tea + Aloe Vera Sheet Mask For Hydrated Skin - F...,Nykaa,100,80,20%,N/A,7593355,https://www.nykaa.com/nykaa-skin-secrets-sheet-mask/p/418274?productId=418274&pps=12,Beauty
Beauty of Joseon Relief Sunscreen Rice + Probiotics SPF 50+ ...,Beauty,N/A,N/A,N/A,N/A,20908,https://www.nykaa.com/beauty-of-joseon-relief-sunscreen-rice-probiotics-spf-50-pa/p/16900408?productId=16900408&pps=13,Beauty
Dot & Key 72HR Hydrating Gel Moisturizer + Probiotics For Fa...,Dot,495,426,14%,N/A,43737,https://www.nykaa.com/dot-key-glow-72-hr-hydrating-gel-probiotics/p/2670296?productId=2670296&pps=14,Beauty
Kay Beauty Matte Compact,Kay,849,679,20%,N/A,171931,https://www.nykaa.com/kay-beauty-matte-compact/p/1129386?productId=1129386&pps=15,Beauty
Swiss Beauty Baked Blusher & Highlighter,Swiss,399,299,25%,N/A,49547,https://www.nykaa.com/swiss-beauty-baked-blusher-highlighter/p/367101?productId=367101&pps=16,Beauty
Rare Beauty Soft Pinch Matte Liquid Blush,Rare,N/A,N/A,N/A,N/A,390,https://www.nykaa.com/rare-beauty-soft-pinch-matte-liquid-blush/p/26114760?productId=26114760&pps=17,Beauty
ETUDE Dear Darling Water Gel Lip and Cheek Tint Lipstick,ETUDE,450,360,20%,N/A,26615,https://www.nykaa.com/etude-house-dear-daring-water-tint/p/1342271?productId=1342271&pps=18,Beauty
Aqualogica Glow+ Dewy Sunscreen Gel SPF 50+ PA++++,Aqualogica,599,515,14%,N/A,200409,https://www.nykaa.com/aqualogica-glow-dewy-sunscreen-with-papaya-vitamin-c/p/10593377?productId=10593377&pps=19,Beauty
Swiss Beauty Glow Up Makeup Fixer With Vitamin C & Hyaluroni...,Swiss,396,356,10%,N/A,5458,https://www.nykaa.com/swiss-beauty-glow-up-makeup-fixer-with-vitamin-c-hyaluronic-acid/p/23121454?productId=23121454&pps=20,Beauty
