Product Name,Brand,MRP,Selling Price,Discount,Rating,Reviews,Product URL,Category
hoop Magnesium Sleep Body Lotion Topical Magnesium Supplemen...,hoop,680,520,24%,N/A,366,https://www.nykaa.com/hoop-magnesium-sleep-body-lotion/p/16911928?productId=16911928&pps=1,Healthcare
"Be Bodywise Biotin Hair Gummies - Zinc, Fibre, Multivitamin ...",Be,999,849,15%,N/A,12318,https://www.nykaa.com/be-bodywise-biotin-hair-gummies-zinc-fibre-multivitamin-for-stronger-hair-nails-no-added-sugar/p/16576533?productId=16576533&pps=2,Healthcare
"Be Bodywise Biotin Hair Gummies - Zinc, Fibre, Multivitamin ...",Be,N/A,N/A,N/A,N/A,12318,https://www.nykaa.com/be-bodywise-biotin-hair-gummies-zinc-fibre-multivitamin-for-stronger-hair-nails-no-added-sugar/p/16576533?productId=16576533&skuId=16576532&pps=3,Healthcare
HealthKart Hk Vitals Skin Radiance Collagen Supplement With ...,HealthKart,975,909,7%,N/A,10214,https://www.nykaa.com/healthkart-hk-vitals-skin-radiance-collagen-supplement-with-biotin-orange/p/8660231?productId=8660231&pps=4,Healthcare
Oziva Advanced Hair Growth ActivesReduces Thinning Hair & Im...,Oziva,2099,1849,12%,N/A,280,https://www.nykaa.com/oziva-advanced-hair-growth-actives/p/16833065?productId=16833065&pps=5,Healthcare
Plix Apple Cider Vinegar Effervescent Tablets with Vitamin B...,Plix,1245,1073,14%,N/A,740,https://www.nykaa.com/plix-world-s-first-acv-juicy-watermelon-with-vitamin-b12-effervescent-tablets-pack-of-4/p/6541017?productId=6541017&pps=6,Healthcare
HealthKart Hk Vitals Multivitamin + Fish Oil,HealthKart,669,489,27%,N/A,85,https://www.nykaa.com/healthkart-hk-vitals-multivitamin-fish-oil/p/24074351?productId=24074351&pps=7,Healthcare
Be Bodywise Collagen Builder Gummies Vitamins For Skin Nouri...,Be,999,449,55%,N/A,1380,https://www.nykaa.com/be-bodywise-collagen-skin-gummies/p/4906321?productId=4906321&pps=8,Healthcare
"What's Up Wellness Glutathione Gummies with Vitamin C, Radia...",What's,1599,1149,28%,N/A,109,https://www.nykaa.com/what-s-up-wellness-gluta-glow-gummies-orange/p/14600377?productId=14600377&pps=9,Healthcare
Kapiva Wild Amla Juice (Cold Pressed)Suitable for Healthy Ha...,Kapiva,280,233,17%,N/A,1214,https://www.nykaa.com/kapiva-ayurveda-amla-juice/p/513896?productId=513896&pps=10,Healthcare
Krishna's Herbal & Ayurveda Shapefix Juice,Krishna's,N/A,N/A,N/A,N/A,175,https://www.nykaa.com/krishna-s-herbal-ayurveda-shapefix-juice/p/24989817?productId=24989817&pps=11,Healthcare
What's Up Wellness Night Burner Capsules,What's,699,599,14%,N/A,66,https://www.nykaa.com/what-s-up-wellness-night-burner-capsules/p/24813938?productId=24813938&pps=12,Healthcare
hoop Magnesium Daily Body Lotion Topical Magnesium Supplemen...,hoop,680,520,24%,N/A,35,https://www.nykaa.com/hoop-magnesium-daily-body-lotion/p/16911929?productId=16911929&pps=13,Healthcare
What's Up Wellness Daily Burner Weight Loss Capsules - CarbB...,What's,699,599,14%,N/A,129,https://www.nykaa.com/what-s-up-wellness-daily-burner-capsules/p/19626404?productId=19626404&pps=14,Healthcare
TruNativ Everyday Sweet 1:1 Sugar Replacer,TruNativ,299,200,33%,N/A,230,https://www.nykaa.com/trunativ-everyday-sweet-1-1-sugar-replacer/p/10931776?productId=10931776&pps=15,Healthcare
Plix Apple Cider Vinegar Effervescent Tablet with Vitamin B6...,Plix,310,305,2%,N/A,466,https://www.nykaa.com/plix-world-s-first-acv-juicy-watermelon-with-vitamin-b12-effervescent-tablets/p/6541016?productId=6541016&pps=16,Healthcare
"Wellbeing Nutrition Slow Multivitamin + Omega 3 for Women, S...",Wellbeing,1399,1357,3%,N/A,196,https://www.nykaa.com/wellbeing-nutrition-slow-multivitamin-for-her/p/5698603?productId=5698603&pps=17,Healthcare
MYPRO SPORT NUTRITION High Protein Women Weight Gainer Choco...,MYPRO,1199,599,50%,N/A,701,https://www.nykaa.com/mypro-sport-nutrition-high-protein-women-weight-gainer-chocolate-flavor-for-women/p/4286386?productId=4286386&pps=18,Healthcare
Chicnutrix Mighty Collagen Japanese Marine Collagen Peptides...,Chicnutrix,1800,999,44%,N/A,318,https://www.nykaa.com/chicnutrix-mighty-collagen/p/9402383?productId=9402383&pps=19,Healthcare
Carbamide Forte Japanese Reduced L Glutathione 500mg with Vi...,Carbamide,1265,816,35%,N/A,226,https://www.nykaa.com/carbamide-forte-l-glutathione-tablets-with-vitamin-c-from-1000mg-amla-extract-zinc/p/4693133?productId=4693133&pps=20,Healthcare
